,id,popularity,release_date,runtime,title,vote_average,vote_count,director,content,posters
0,19995,150.437577,"Dec, 2009",2hr 42min,Avatar,7.2,11800,James Cameron,action adventure fantasy sciencefiction cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelation mindandsoul 3d 22nd century paraplegic marine dispatch moon pandora unique mission tear follow order protect alien civilization ingeniousfilmpartner twentiethcenturyfoxfilmcorporation duneentertainment lightstormentertainment enter world pandora samworthington zoesaldana sigourneyweaver jamescameron,https://image.tmdb.org/t/p/w500/kyeqWdyUXW608qlYkRqosgbbJyK.jpg
1,285,139.082615,"May, 2007",2hr 49min,Pirates of the Caribbean: At World's End,6.9,4500,Gore Verbinski,adventure fantasy action ocean drugabuse exoticisland eastindiatradingcompany loveofoneslife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger captain barbossa long believe dead come life head edge earth turner elizabeth swann waltdisneypicture jerrybruckheimerfilm secondmateproduction end world adventure begin johnnydepp orlandobloom keiraknightley goreverbinski,https://image.tmdb.org/t/p/w500/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg
2,206647,107.376788,"Oct, 2015",2hr 28min,Spectre,6.3,4466,Sam Mendes,action adventure crime spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom cryptic message bond past send trail uncover sinister organization m battle political force secret service alive bond peel layer deceit reveal terrible truth spectre columbiapicture danjaq b24 plan escape danielcraig christophwaltz léaseydoux sammende,https://image.tmdb.org/t/p/w500/672kUEMtTHcaVYSVY4eiHEliHFa.jpg
3,49026,112.31295,"Jul, 2012",2hr 45min,The Dark Knight Rises,7.6,9106,Christopher Nolan,action crime drama thriller dccomic crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante coverup superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman follow death district attorney harvey dent batman assume responsibility dent crime protect late attorney reputation subsequently hunt gotham city police department year later batman encounter mysterious selina kyle villainous bane new terrorist leader overwhelm gotham fine dark knight resurface protect city brand enemy legendarypicture warnerbros dcentertainment syncopy legend end christianbale michaelcaine garyoldman christophernolan,https://image.tmdb.org/t/p/w500/85cWkCVftiVs0BVey6pxX8uNmLt.jpg
4,49529,43.926995,"Mar, 2012",2hr 12min,John Carter,6.1,2124,Andrew Stanton,action adventure sciencefiction basedonnovel mar medallion spacetravel princess alien steampunk martian escape edgarriceburrough alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d john carter warweary military captain s inexplicably transport mysterious exotic planet barsoom mar reluctantly embroil epic conflict world brink collapse carter rediscover humanity realize survival barsoom people rest hand waltdisneypicture lose world find taylorkitsch lynncollin samanthamorton andrewstanton,https://image.tmdb.org/t/p/w500/lCxz1Yus07QCQQCb6I0Dr3Lmqpx.jpg
5,559,115.699814,"May, 2007",2hr 19min,Spider-Man 3,5.9,3576,Sam Raimi,fantasy action adventure dualidentity amnesia sandstorm loveofoneslife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge seemingly invincible spiderman go allnew crop villain – include shapeshifte sandman spiderman superpower alter alien organism alter ego peter parker deal nemesis eddie brock gets catch love triangle columbiapicture lauraziskinproduction marvelenterprise battle tobeymaguire kirstendunst jamesfranco samraimi,https://image.tmdb.org/t/p/w500/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg
6,38757,48.681969,"Nov, 2010",1hr 40min,Tangled,7.4,3330,Byron Howard,animation family hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick kingdom wantedand charmingbandit flynn rider hide mysterious tower s take hostage rapunzel beautiful feisty towerbound teen 70 foot magical golden hair flynn curious captor s look ticket tower s lock away year strike deal handsome thief unlikely duo set actionpacked escapade complete supercop horse overprotective chameleon gruff gang pub thug waltdisneypicture waltdisneyanimationstudio take adventure new length zacharylevi mandymoore donnamurphy byronhoward,https://image.tmdb.org/t/p/w500/ym7Kst6a4uodryxqbGOxmewF235.jpg
7,99861,134.279229,"Apr, 2015",2hr 21min,Avengers: Age of Ultron,7.3,6767,Joss Whedon,action adventure sciencefiction marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d tony stark try jumpstart dormant peacekeeping program thing awry earth mighty hero ultimate test fate planet hang balance villainous ultron emerge avenger stop enact terrible plan soon uneasy alliance unexpected action pave way epic unique global adventure marvelstudio primefocus revolutionsunstudio new age come robertdowneyjr chrishemsworth markruffalo josswhedon,https://image.tmdb.org/t/p/w500/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg
8,767,98.885637,"Jul, 2009",2hr 33min,Harry Potter and the Half-Blood Prince,7.4,5293,David Yates,adventure fantasy family witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf harry begin sixth year hogwart discover old book mark property halfblood prince begin learn lord voldemorts dark past warnerbros heydayfilm dark secret reveal danielradcliffe rupertgrint emmawatson davidyate,https://image.tmdb.org/t/p/w500/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg
9,209112,155.790452,"Mar, 2016",2hr 31min,Batman v Superman: Dawn of Justice,5.7,7004,Zack Snyder,action adventure fantasy dccomic vigilante superhero basedoncomicbook revenge superpower clarkkent brucewayne dcextendeduniverse fear action godlike super hero leave unchecked gotham city formidable forceful vigilante take metropolis revere modernday savior world wrestle sort hero need batman superman war new threat quickly arise put mankind great danger know dccomics atlasentertainment warnerbro dcentertainment cruelunusualfilm ratpacduneentertainment justice revenge benaffleck henrycavill galgadot zacksnyder,https://image.tmdb.org/t/p/w500/5UsK3grJvtQrtzEgqNlDljJW96w.jpg
